Org ID,Org Legal Name,Debt Type,Rating Type,Rating,Release Date,Current?,Org Type,Rtg Action,Rtg IG/SG,Org Region,Org Country,Rtg Category,Rtg Symbol Sort,Unsolicited Rtg,Tier Level,ISO Two Char Country Code,OL/CW,OL/CW Date,Confid,Name,Latitude,Longitude,As of Year,As of Year2
100188,Republic of Austria,Issuer Credit Rating,Foreign Curr (Long-term),AAA,6/13/2000,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Austria,AAA,1,N,1,AT,Stable,13-Jun-00,N,Austria,47.3333,13.3333,12/31/2000,2000
100804,Republic of Finland,Issuer Credit Rating,Foreign Curr (Long-term),AA+,10/3/2000,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Finland,AA,2,N,1,FI,Positive,3-Oct-00,N,Finland,64,26,12/31/2000,2000
107135,Republic of Italy (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AA,4/19/2000,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Italy,AA,3,N,1,IT,Stable,19-Apr-00,N,Italy,42.8333,12.8333,12/31/2000,2000
107429,Republic of Ireland,Issuer Credit Rating,Foreign Curr (Long-term),AA+,10/3/2000,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Ireland,AA,2,N,1,IE,Positive,3-Oct-00,N,Ireland,53,-8,12/31/2000,2000
109900,Republic of Portugal,Issuer Credit Rating,Foreign Curr (Long-term),AA,4/5/2000,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Portugal,AA,3,N,1,PT,Stable,5-Apr-00,N,Portugal,39.5,-8,12/31/2000,2000
117955,Republic of Cyprus,Issuer Credit Rating,Foreign Curr (Long-term),A,11/28/2000,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Cyprus,A,6,N,1,CY,Stable,28-Nov-00,N,Cyprus,35,33,12/31/2000,2000
128364,Slovak Republic,Issuer Credit Rating,Foreign Curr (Long-term),BB+,11/9/2000,N,Sovereign,Affirmation,SG,"Europe, Middle East, Africa",Slovak Republic,BB,11,N,1,SK,Positive,9-Nov-00,N,Slovak Republic,48.6667,19.5,12/31/2000,2000
128507,Republic of Malta,Issuer Credit Rating,Foreign Curr (Long-term),A,5/2/2000,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Malta,A,6,N,1,MT,Stable,2-May-00,N,Malta,35.8333,14.5833,12/31/2000,2000
305647,Republic of Slovenia,Issuer Credit Rating,Foreign Curr (Long-term),A,7/6/2000,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Slovenia,A,6,N,1,SI,Stable,6-Jul-00,N,Slovenia,46,15,12/31/2000,2000
319310,Republic of Estonia,Issuer Credit Rating,Foreign Curr (Long-term),BBB+,12/22/2000,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Estonia,BBB,8,N,1,EE,Positive,22-Dec-00,N,Estonia,59,26,12/31/2000,2000
107118,Federal Republic of Germany (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AAA,12/10/2002,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Germany,AAA,1,N,1,DE,Stable,10-Dec-02,N,Germany,51,9,12/31/2001,2001
107121,Kingdom of Belgium (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AA+,2/18/2002,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Belgium,AA,2,N,1,BE,Stable,18-Feb-02,N,Belgium,50.8333,4,12/31/2001,2001
109409,State of The Netherlands (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AAA,2/10/2003,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Netherlands,AAA,1,N,1,NL,Stable,10-Feb-03,N,Netherlands,52.5,5.75,12/31/2001,2001
112764,Grand Duchy of Luxembourg,Issuer Credit Rating,Foreign Curr (Long-term),AAA,3/25/2002,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Luxembourg,AAA,1,N,1,LU,Stable,25-Mar-02,N,Luxembourg,49.75,6.1667,12/31/2001,2001
104498,Republic of France (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AAA,1/24/2001,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",France,AAA,1,N,1,FR,Stable,24-Jan-01,N,France,46,2,12/31/2000,2000
106200,Kingdom of Spain,Issuer Credit Rating,Foreign Curr (Long-term),AA+,2/6/2001,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Spain,AA,2,N,1,ES,Stable,6-Feb-01,N,Spain,40,-4,12/31/2000,2000
107118,Federal Republic of Germany (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AAA,12/10/2002,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Germany,AAA,1,N,1,DE,Stable,10-Dec-02,N,Germany,51,9,12/31/2000,2000
107121,Kingdom of Belgium (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AA+,2/18/2002,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Belgium,AA,2,N,1,BE,Stable,18-Feb-02,N,Belgium,50.8333,4,12/31/2000,2000
109409,State of The Netherlands (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AAA,2/10/2003,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Netherlands,AAA,1,N,1,NL,Stable,10-Feb-03,N,Netherlands,52.5,5.75,12/31/2000,2000
110074,Hellenic Republic,Issuer Credit Rating,Foreign Curr (Long-term),A,3/13/2001,N,Sovereign,Upgrade,IG,"Europe, Middle East, Africa",Greece,A,6,N,1,GR,Positive,13-Mar-01,N,Greece,39,22,12/31/2000,2000
112764,Grand Duchy of Luxembourg,Issuer Credit Rating,Foreign Curr (Long-term),AAA,3/25/2002,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Luxembourg,AAA,1,N,1,LU,Stable,25-Mar-02,N,Luxembourg,49.75,6.1667,12/31/2000,2000
100188,Republic of Austria,Issuer Credit Rating,Foreign Curr (Long-term),AAA,6/13/2000,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Austria,AAA,1,N,1,AT,Stable,13-Jun-00,N,Austria,47.3333,13.3333,12/31/2001,2001
100804,Republic of Finland,Issuer Credit Rating,Foreign Curr (Long-term),AA+,5/15/2001,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Finland,AA,2,N,1,FI,Positive,15-May-01,N,Finland,64,26,12/31/2001,2001
104498,Republic of France (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AAA,1/24/2001,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",France,AAA,1,N,1,FR,Stable,24-Jan-01,N,France,46,2,12/31/2001,2001
106200,Kingdom of Spain,Issuer Credit Rating,Foreign Curr (Long-term),AA+,3/8/2001,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Spain,AA,2,N,1,ES,Stable,8-Mar-01,N,Spain,40,-4,12/31/2001,2001
107135,Republic of Italy (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AA,10/26/2001,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Italy,AA,3,N,1,IT,Stable,26-Oct-01,N,Italy,42.8333,12.8333,12/31/2001,2001
107429,Republic of Ireland,Issuer Credit Rating,Foreign Curr (Long-term),AAA,10/3/2001,N,Sovereign,Upgrade,IG,"Europe, Middle East, Africa",Ireland,AAA,1,N,1,IE,Stable,3-Oct-01,N,Ireland,53,-8,12/31/2001,2001
109900,Republic of Portugal,Issuer Credit Rating,Foreign Curr (Long-term),AA,6/28/2001,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Portugal,AA,3,N,1,PT,Stable,28-Jun-01,N,Portugal,39.5,-8,12/31/2001,2001
110074,Hellenic Republic,Issuer Credit Rating,Foreign Curr (Long-term),A,3/13/2001,N,Sovereign,Upgrade,IG,"Europe, Middle East, Africa",Greece,A,6,N,1,GR,Positive,13-Mar-01,N,Greece,39,22,12/31/2001,2001
117955,Republic of Cyprus,Issuer Credit Rating,Foreign Curr (Long-term),A,11/16/2001,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Cyprus,A,6,N,1,CY,Stable,16-Nov-01,N,Cyprus,35,33,12/31/2001,2001
128364,Slovak Republic,Issuer Credit Rating,Foreign Curr (Long-term),BBB-,10/30/2001,N,Sovereign,Upgrade,IG,"Europe, Middle East, Africa",Slovak Republic,BBB,10,N,1,SK,Positive,30-Oct-01,N,Slovak Republic,48.6667,19.5,12/31/2001,2001
128507,Republic of Malta,Issuer Credit Rating,Foreign Curr (Long-term),A,8/6/2001,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Malta,A,6,N,1,MT,Stable,6-Aug-01,N,Malta,35.8333,14.5833,12/31/2001,2001
305647,Republic of Slovenia,Issuer Credit Rating,Foreign Curr (Long-term),A,12/18/2001,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Slovenia,A,6,N,1,SI,Stable,18-Dec-01,N,Slovenia,46,15,12/31/2001,2001
112764,Grand Duchy of Luxembourg,Issuer Credit Rating,Foreign Curr (Long-term),AAA,3/25/2002,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Luxembourg,AAA,1,N,1,LU,Stable,25-Mar-02,N,Luxembourg,49.75,6.1667,12/31/2002,2002
117955,Republic of Cyprus,Issuer Credit Rating,Foreign Curr (Long-term),A,11/19/2002,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Cyprus,A,6,N,1,CY,Stable,19-Nov-02,N,Cyprus,35,33,12/31/2002,2002
128364,Slovak Republic,Issuer Credit Rating,Foreign Curr (Long-term),BBB,12/19/2002,N,Sovereign,Upgrade,IG,"Europe, Middle East, Africa",Slovak Republic,BBB,9,N,1,SK,Positive,19-Dec-02,N,Slovak Republic,48.6667,19.5,12/31/2002,2002
128507,Republic of Malta,Issuer Credit Rating,Foreign Curr (Long-term),A,7/5/2002,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Malta,A,6,N,1,MT,Stable,5-Jul-02,N,Malta,35.8333,14.5833,12/31/2002,2002
305647,Republic of Slovenia,Issuer Credit Rating,Foreign Curr (Long-term),A,10/23/2002,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Slovenia,A,6,N,1,SI,Positive,23-Oct-02,N,Slovenia,46,15,12/31/2002,2002
319310,Republic of Estonia,Issuer Credit Rating,Foreign Curr (Long-term),A-,11/20/2001,N,Sovereign,Upgrade,IG,"Europe, Middle East, Africa",Estonia,A,7,N,1,EE,Stable,20-Nov-01,N,Estonia,59,26,12/31/2002,2002
100188,Republic of Austria,Issuer Credit Rating,Foreign Curr (Long-term),AAA,5/21/2003,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Austria,AAA,1,N,1,AT,Stable,21-May-03,N,Austria,47.3333,13.3333,12/31/2003,2003
100804,Republic of Finland,Issuer Credit Rating,Foreign Curr (Long-term),AAA,2/11/2003,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Finland,AAA,1,N,1,FI,Stable,11-Feb-03,N,Finland,64,26,12/31/2003,2003
104498,Republic of France (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AAA,3/19/2003,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",France,AAA,1,N,1,FR,Stable,19-Mar-03,N,France,46,2,12/31/2003,2003
319310,Republic of Estonia,Issuer Credit Rating,Foreign Curr (Long-term),A-,11/20/2001,N,Sovereign,Upgrade,IG,"Europe, Middle East, Africa",Estonia,A,7,N,1,EE,Stable,20-Nov-01,N,Estonia,59,26,12/31/2001,2001
109409,State of The Netherlands (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AAA,2/10/2003,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Netherlands,AAA,1,N,1,NL,Stable,10-Feb-03,N,Netherlands,52.5,5.75,12/31/2002,2002
100188,Republic of Austria,Issuer Credit Rating,Foreign Curr (Long-term),AAA,6/13/2000,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Austria,AAA,1,N,1,AT,Stable,13-Jun-00,N,Austria,47.3333,13.3333,12/31/2002,2002
100804,Republic of Finland,Issuer Credit Rating,Foreign Curr (Long-term),AAA,2/1/2002,N,Sovereign,Upgrade,IG,"Europe, Middle East, Africa",Finland,AAA,1,N,1,FI,Stable,1-Feb-02,N,Finland,64,26,12/31/2002,2002
104498,Republic of France (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AAA,1/28/2002,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",France,AAA,1,N,1,FR,Stable,28-Jan-02,N,France,46,2,12/31/2002,2002
106200,Kingdom of Spain,Issuer Credit Rating,Foreign Curr (Long-term),AA+,5/14/2002,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Spain,AA,2,N,1,ES,Stable,14-May-02,N,Spain,40,-4,12/31/2002,2002
107118,Federal Republic of Germany (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AAA,12/10/2002,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Germany,AAA,1,N,1,DE,Stable,10-Dec-02,N,Germany,51,9,12/31/2002,2002
107121,Kingdom of Belgium (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AA+,2/18/2002,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Belgium,AA,2,N,1,BE,Stable,18-Feb-02,N,Belgium,50.8333,4,12/31/2002,2002
107135,Republic of Italy (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AA,10/26/2001,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Italy,AA,3,N,1,IT,Stable,26-Oct-01,N,Italy,42.8333,12.8333,12/31/2002,2002
107429,Republic of Ireland,Issuer Credit Rating,Foreign Curr (Long-term),AAA,9/5/2002,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Ireland,AAA,1,N,1,IE,Stable,5-Sep-02,N,Ireland,53,-8,12/31/2002,2002
109900,Republic of Portugal,Issuer Credit Rating,Foreign Curr (Long-term),AA,10/31/2002,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Portugal,AA,3,N,1,PT,Stable,31-Oct-02,N,Portugal,39.5,-8,12/31/2002,2002
110074,Hellenic Republic,Issuer Credit Rating,Foreign Curr (Long-term),A,7/3/2002,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Greece,A,6,N,1,GR,Positive,3-Jul-02,N,Greece,39,22,12/31/2002,2002
100188,Republic of Austria,Issuer Credit Rating,Foreign Curr (Long-term),AAA,4/15/2004,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Austria,AAA,1,N,1,AT,Stable,15-Apr-04,N,Austria,47.3333,13.3333,12/31/2004,2004
100804,Republic of Finland,Issuer Credit Rating,Foreign Curr (Long-term),AAA,1/9/2004,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Finland,AAA,1,N,1,FI,Stable,9-Jan-04,N,Finland,64,26,12/31/2004,2004
104498,Republic of France (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AAA,10/15/2004,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",France,AAA,1,N,1,FR,Stable,15-Oct-04,N,France,46,2,12/31/2004,2004
106200,Kingdom of Spain,Issuer Credit Rating,Foreign Curr (Long-term),AAA,12/13/2004,N,Sovereign,Upgrade,IG,"Europe, Middle East, Africa",Spain,AAA,1,N,1,ES,Stable,13-Dec-04,N,Spain,40,-4,12/31/2004,2004
107118,Federal Republic of Germany (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AAA,10/15/2004,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Germany,AAA,1,N,1,DE,Stable,15-Oct-04,N,Germany,51,9,12/31/2004,2004
107121,Kingdom of Belgium (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AA+,5/12/2004,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Belgium,AA,2,N,1,BE,Stable,12-May-04,N,Belgium,50.8333,4,12/31/2004,2004
107135,Republic of Italy (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AA-,7/7/2004,N,Sovereign,Downgrade,IG,"Europe, Middle East, Africa",Italy,AA,4,N,1,IT,Stable,7-Jul-04,N,Italy,42.8333,12.8333,12/31/2004,2004
107429,Republic of Ireland,Issuer Credit Rating,Foreign Curr (Long-term),AAA,12/23/2004,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Ireland,AAA,1,N,1,IE,Stable,23-Dec-04,N,Ireland,53,-8,12/31/2004,2004
109409,State of The Netherlands (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AAA,2/6/2004,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Netherlands,AAA,1,N,1,NL,Stable,6-Feb-04,N,Netherlands,52.5,5.75,12/31/2004,2004
109900,Republic of Portugal,Issuer Credit Rating,Foreign Curr (Long-term),AA,10/29/2004,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Portugal,AA,3,N,1,PT,Negative,29-Oct-04,N,Portugal,39.5,-8,12/31/2004,2004
110074,Hellenic Republic,Issuer Credit Rating,Foreign Curr (Long-term),A,11/17/2004,N,Sovereign,Downgrade,IG,"Europe, Middle East, Africa",Greece,A,6,N,1,GR,Stable,17-Nov-04,N,Greece,39,22,12/31/2004,2004
112764,Grand Duchy of Luxembourg,Issuer Credit Rating,Foreign Curr (Long-term),AAA,4/8/2004,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Luxembourg,AAA,1,N,1,LU,Stable,8-Apr-04,N,Luxembourg,49.75,6.1667,12/31/2004,2004
117955,Republic of Cyprus,Issuer Credit Rating,Foreign Curr (Long-term),A,12/1/2004,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Cyprus,A,6,N,1,CY,Stable,1-Dec-04,N,Cyprus,35,33,12/31/2004,2004
