Org ID,Org Legal Name,Debt Type,Rating Type,Rating,Release Date,Current?,Org Type,Rtg Action,Rtg IG/SG,Org Region,Org Country,Rtg Category,Rtg Symbol Sort,Unsolicited Rtg,Tier Level,ISO Two Char Country Code,OL/CW,OL/CW Date,Confid,Name,Latitude,Longitude,As of Year,As of Year2
128364,Slovak Republic,Issuer Credit Rating,Foreign Curr (Long-term),A-,12/13/2004,N,Sovereign,Upgrade,IG,"Europe, Middle East, Africa",Slovak Republic,A,7,N,1,SK,Positive,13-Dec-04,N,Slovak Republic,48.6667,19.5,12/31/2004,2004
128507,Republic of Malta,Issuer Credit Rating,Foreign Curr (Long-term),A,8/10/2004,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Malta,A,6,N,1,MT,Stable,10-Aug-04,N,Malta,35.8333,14.5833,12/31/2004,2004
305647,Republic of Slovenia,Issuer Credit Rating,Foreign Curr (Long-term),AA-,5/13/2004,N,Sovereign,Upgrade,IG,"Europe, Middle East, Africa",Slovenia,AA,4,N,1,SI,Stable,13-May-04,N,Slovenia,46,15,12/31/2004,2004
319310,Republic of Estonia,Issuer Credit Rating,Foreign Curr (Long-term),A,11/17/2004,N,Sovereign,Upgrade,IG,"Europe, Middle East, Africa",Estonia,A,6,N,1,EE,Stable,17-Nov-04,N,Estonia,59,26,12/31/2004,2004
106200,Kingdom of Spain,Issuer Credit Rating,Foreign Curr (Long-term),AA+,7/30/2003,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Spain,AA,2,N,1,ES,Positive,30-Jul-03,N,Spain,40,-4,12/31/2003,2003
107118,Federal Republic of Germany (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AAA,5/6/2003,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Germany,AAA,1,N,1,DE,Stable,6-May-03,N,Germany,51,9,12/31/2003,2003
107121,Kingdom of Belgium (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AA+,5/22/2003,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Belgium,AA,2,N,1,BE,Stable,22-May-03,N,Belgium,50.8333,4,12/31/2003,2003
107135,Republic of Italy (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AA,11/25/2003,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Italy,AA,3,N,1,IT,Negative,25-Nov-03,N,Italy,42.8333,12.8333,12/31/2003,2003
107429,Republic of Ireland,Issuer Credit Rating,Foreign Curr (Long-term),AAA,10/30/2003,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Ireland,AAA,1,N,1,IE,Stable,30-Oct-03,N,Ireland,53,-8,12/31/2003,2003
109409,State of The Netherlands (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AAA,2/10/2003,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Netherlands,AAA,1,N,1,NL,Stable,10-Feb-03,N,Netherlands,52.5,5.75,12/31/2003,2003
109900,Republic of Portugal,Issuer Credit Rating,Foreign Curr (Long-term),AA,10/31/2002,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Portugal,AA,3,N,1,PT,Stable,31-Oct-02,N,Portugal,39.5,-8,12/31/2003,2003
110074,Hellenic Republic,Issuer Credit Rating,Foreign Curr (Long-term),A+,6/10/2003,N,Sovereign,Upgrade,IG,"Europe, Middle East, Africa",Greece,A,5,N,1,GR,Stable,10-Jun-03,N,Greece,39,22,12/31/2003,2003
112764,Grand Duchy of Luxembourg,Issuer Credit Rating,Foreign Curr (Long-term),AAA,4/8/2003,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Luxembourg,AAA,1,N,1,LU,Stable,8-Apr-03,N,Luxembourg,49.75,6.1667,12/31/2003,2003
117955,Republic of Cyprus,Issuer Credit Rating,Foreign Curr (Long-term),A,8/12/2003,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Cyprus,A,6,N,1,CY,Stable,12-Aug-03,N,Cyprus,35,33,12/31/2003,2003
128364,Slovak Republic,Issuer Credit Rating,Foreign Curr (Long-term),BBB,12/19/2002,N,Sovereign,Upgrade,IG,"Europe, Middle East, Africa",Slovak Republic,BBB,9,N,1,SK,Positive,19-Dec-02,N,Slovak Republic,48.6667,19.5,12/31/2003,2003
128507,Republic of Malta,Issuer Credit Rating,Foreign Curr (Long-term),A,8/22/2003,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Malta,A,6,N,1,MT,Stable,22-Aug-03,N,Malta,35.8333,14.5833,12/31/2003,2003
305647,Republic of Slovenia,Issuer Credit Rating,Foreign Curr (Long-term),A+,3/26/2003,N,Sovereign,Upgrade,IG,"Europe, Middle East, Africa",Slovenia,A,5,N,1,SI,Positive,26-Mar-03,N,Slovenia,46,15,12/31/2003,2003
319310,Republic of Estonia,Issuer Credit Rating,Foreign Curr (Long-term),A-,12/18/2003,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Estonia,A,7,N,1,EE,Positive,18-Dec-03,N,Estonia,59,26,12/31/2003,2003
100188,Republic of Austria,Issuer Credit Rating,Foreign Curr (Long-term),AAA,4/14/2005,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Austria,AAA,1,N,1,AT,Stable,14-Apr-05,N,Austria,47.3333,13.3333,12/31/2005,2005
100804,Republic of Finland,Issuer Credit Rating,Foreign Curr (Long-term),AAA,9/13/2005,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Finland,AAA,1,N,1,FI,Stable,13-Sep-05,N,Finland,64,26,12/31/2005,2005
104498,Republic of France (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AAA,2/22/2005,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",France,AAA,1,N,1,FR,Stable,22-Feb-05,N,France,46,2,12/31/2005,2005
106200,Kingdom of Spain,Issuer Credit Rating,Foreign Curr (Long-term),AAA,11/28/2005,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Spain,AAA,1,N,1,ES,Stable,28-Nov-05,N,Spain,40,-4,12/31/2005,2005
107118,Federal Republic of Germany (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AAA,11/16/2005,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Germany,AAA,1,N,1,DE,Stable,16-Nov-05,N,Germany,51,9,12/31/2005,2005
107121,Kingdom of Belgium (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AA+,4/20/2005,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Belgium,AA,2,N,1,BE,Stable,20-Apr-05,N,Belgium,50.8333,4,12/31/2005,2005
107135,Republic of Italy (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AA-,8/8/2005,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Italy,AA,4,N,1,IT,Negative,8-Aug-05,N,Italy,42.8333,12.8333,12/31/2005,2005
107429,Republic of Ireland,Issuer Credit Rating,Foreign Curr (Long-term),AAA,12/20/2005,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Ireland,AAA,1,N,1,IE,Stable,20-Dec-05,N,Ireland,53,-8,12/31/2005,2005
109409,State of The Netherlands (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AAA,3/1/2005,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Netherlands,AAA,1,N,1,NL,Stable,1-Mar-05,N,Netherlands,52.5,5.75,12/31/2005,2005
109900,Republic of Portugal,Issuer Credit Rating,Foreign Curr (Long-term),AA-,6/27/2005,N,Sovereign,Downgrade,IG,"Europe, Middle East, Africa",Portugal,AA,4,N,1,PT,Stable,27-Jun-05,N,Portugal,39.5,-8,12/31/2005,2005
110074,Hellenic Republic,Issuer Credit Rating,Foreign Curr (Long-term),A,11/8/2005,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Greece,A,6,N,1,GR,Stable,8-Nov-05,N,Greece,39,22,12/31/2005,2005
112764,Grand Duchy of Luxembourg,Issuer Credit Rating,Foreign Curr (Long-term),AAA,4/12/2005,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Luxembourg,AAA,1,N,1,LU,Stable,12-Apr-05,N,Luxembourg,49.75,6.1667,12/31/2005,2005
117955,Republic of Cyprus,Issuer Credit Rating,Foreign Curr (Long-term),A,12/1/2004,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Cyprus,A,6,N,1,CY,Stable,1-Dec-04,N,Cyprus,35,33,12/31/2005,2005
128364,Slovak Republic,Issuer Credit Rating,Foreign Curr (Long-term),A,12/19/2005,N,Sovereign,Upgrade,IG,"Europe, Middle East, Africa",Slovak Republic,A,6,N,1,SK,Stable,19-Dec-05,N,Slovak Republic,48.6667,19.5,12/31/2005,2005
128507,Republic of Malta,Issuer Credit Rating,Foreign Curr (Long-term),A,5/12/2005,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Malta,A,6,N,1,MT,Stable,12-May-05,N,Malta,35.8333,14.5833,12/31/2005,2005
305647,Republic of Slovenia,Issuer Credit Rating,Foreign Curr (Long-term),AA-,7/11/2005,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Slovenia,AA,4,N,1,SI,Stable,11-Jul-05,N,Slovenia,46,15,12/31/2005,2005
112764,Grand Duchy of Luxembourg,Issuer Credit Rating,Foreign Curr (Long-term),AAA,4/28/2006,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Luxembourg,AAA,1,N,1,LU,Stable,28-Apr-06,N,Luxembourg,49.75,6.1667,12/31/2006,2006
117955,Republic of Cyprus,Issuer Credit Rating,Foreign Curr (Long-term),A,2/28/2006,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Cyprus,A,6,N,1,CY,Stable,28-Feb-06,N,Cyprus,35,33,12/31/2006,2006
128364,Slovak Republic,Issuer Credit Rating,Foreign Curr (Long-term),A,12/14/2006,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Slovak Republic,A,6,N,1,SK,Stable,14-Dec-06,N,Slovak Republic,48.6667,19.5,12/31/2006,2006
128507,Republic of Malta,Issuer Credit Rating,Foreign Curr (Long-term),A,8/3/2006,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Malta,A,6,N,1,MT,Stable,3-Aug-06,N,Malta,35.8333,14.5833,12/31/2006,2006
305647,Republic of Slovenia,Issuer Credit Rating,Foreign Curr (Long-term),AA,5/16/2006,N,Sovereign,Upgrade,IG,"Europe, Middle East, Africa",Slovenia,AA,3,N,1,SI,Stable,16-May-06,N,Slovenia,46,15,12/31/2006,2006
319310,Republic of Estonia,Issuer Credit Rating,Foreign Curr (Long-term),A,7/17/2006,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Estonia,A,6,N,1,EE,Stable,17-Jul-06,N,Estonia,59,26,12/31/2006,2006
100188,Republic of Austria,Issuer Credit Rating,Foreign Curr (Long-term),AAA,2/12/2007,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Austria,AAA,1,N,1,AT,Stable,12-Feb-07,N,Austria,47.3333,13.3333,12/31/2007,2007
100804,Republic of Finland,Issuer Credit Rating,Foreign Curr (Long-term),AAA,7/24/2007,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Finland,AAA,1,N,1,FI,Stable,24-Jul-07,N,Finland,64,26,12/31/2007,2007
319310,Republic of Estonia,Issuer Credit Rating,Foreign Curr (Long-term),A,7/21/2005,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Estonia,A,6,N,1,EE,Positive,21-Jul-05,N,Estonia,59,26,12/31/2005,2005
100188,Republic of Austria,Issuer Credit Rating,Foreign Curr (Long-term),AAA,4/27/2006,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Austria,AAA,1,N,1,AT,Stable,27-Apr-06,N,Austria,47.3333,13.3333,12/31/2006,2006
100804,Republic of Finland,Issuer Credit Rating,Foreign Curr (Long-term),AAA,11/14/2006,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Finland,AAA,1,N,1,FI,Stable,14-Nov-06,N,Finland,64,26,12/31/2006,2006
104498,Republic of France (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AAA,2/28/2006,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",France,AAA,1,N,1,FR,Stable,28-Feb-06,N,France,46,2,12/31/2006,2006
106200,Kingdom of Spain,Issuer Credit Rating,Foreign Curr (Long-term),AAA,11/29/2006,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Spain,AAA,1,N,1,ES,Stable,29-Nov-06,N,Spain,40,-4,12/31/2006,2006
107118,Federal Republic of Germany (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AAA,12/19/2006,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Germany,AAA,1,N,1,DE,Stable,19-Dec-06,N,Germany,51,9,12/31/2006,2006
107121,Kingdom of Belgium (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AA+,4/24/2006,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Belgium,AA,2,N,1,BE,Stable,24-Apr-06,N,Belgium,50.8333,4,12/31/2006,2006
107135,Republic of Italy (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),A+,10/19/2006,N,Sovereign,Downgrade,IG,"Europe, Middle East, Africa",Italy,A,5,N,1,IT,Stable,19-Oct-06,N,Italy,42.8333,12.8333,12/31/2006,2006
107429,Republic of Ireland,Issuer Credit Rating,Foreign Curr (Long-term),AAA,12/21/2006,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Ireland,AAA,1,N,1,IE,Stable,21-Dec-06,N,Ireland,53,-8,12/31/2006,2006
109409,State of The Netherlands (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AAA,12/28/2006,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Netherlands,AAA,1,N,1,NL,Stable,28-Dec-06,N,Netherlands,52.5,5.75,12/31/2006,2006
109900,Republic of Portugal,Issuer Credit Rating,Foreign Curr (Long-term),AA-,10/30/2006,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Portugal,AA,4,N,1,PT,Stable,30-Oct-06,N,Portugal,39.5,-8,12/31/2006,2006
110074,Hellenic Republic,Issuer Credit Rating,Foreign Curr (Long-term),A,3/24/2006,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Greece,A,6,N,1,GR,Stable,24-Mar-06,N,Greece,39,22,12/31/2006,2006
100188,Republic of Austria,Issuer Credit Rating,Foreign Curr (Long-term),AAA,2/22/2008,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Austria,AAA,1,N,1,AT,Stable,22-Feb-08,N,Austria,47.3333,13.3333,12/31/2008,2008
100804,Republic of Finland,Issuer Credit Rating,Foreign Curr (Long-term),AAA,8/7/2008,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Finland,AAA,1,N,1,FI,Stable,7-Aug-08,N,Finland,64,26,12/31/2008,2008
104498,Republic of France (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AAA,3/31/2008,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",France,AAA,1,N,1,FR,Stable,31-Mar-08,N,France,46,2,12/31/2008,2008
106200,Kingdom of Spain,Issuer Credit Rating,Foreign Curr (Long-term),AAA,4/25/2008,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Spain,AAA,1,N,1,ES,Stable,25-Apr-08,N,Spain,40,-4,12/31/2008,2008
107118,Federal Republic of Germany (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AAA,6/17/2008,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Germany,AAA,1,N,1,DE,Stable,17-Jun-08,N,Germany,51,9,12/31/2008,2008
107121,Kingdom of Belgium (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AA+,9/30/2008,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Belgium,AA,2,N,1,BE,Stable,30-Sep-08,N,Belgium,50.8333,4,12/31/2008,2008
107135,Republic of Italy (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),A+,10/23/2007,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Italy,A,5,N,1,IT,Stable,23-Oct-07,N,Italy,42.8333,12.8333,12/31/2008,2008
107429,Republic of Ireland,Issuer Credit Rating,Foreign Curr (Long-term),AAA,11/23/2007,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Ireland,AAA,1,N,1,IE,Stable,23-Nov-07,N,Ireland,53,-8,12/31/2008,2008
109409,State of The Netherlands (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AAA,9/30/2008,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Netherlands,AAA,1,N,1,NL,Stable,30-Sep-08,N,Netherlands,52.5,5.75,12/31/2008,2008
109900,Republic of Portugal,Issuer Credit Rating,Foreign Curr (Long-term),AA-,5/19/2008,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Portugal,AA,4,N,1,PT,Stable,19-May-08,N,Portugal,39.5,-8,12/31/2008,2008
110074,Hellenic Republic,Issuer Credit Rating,Foreign Curr (Long-term),A,3/4/2008,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Greece,A,6,N,1,GR,Stable,4-Mar-08,N,Greece,39,22,12/31/2008,2008
112764,Grand Duchy of Luxembourg,Issuer Credit Rating,Foreign Curr (Long-term),AAA,9/30/2008,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Luxembourg,AAA,1,N,1,LU,Stable,30-Sep-08,N,Luxembourg,49.75,6.1667,12/31/2008,2008
117955,Republic of Cyprus,Issuer Credit Rating,Foreign Curr (Long-term),A+,4/24/2008,N,Sovereign,Upgrade,IG,"Europe, Middle East, Africa",Cyprus,A,5,N,1,CY,Stable,24-Apr-08,N,Cyprus,35,33,12/31/2008,2008
128364,Slovak Republic,Issuer Credit Rating,Foreign Curr (Long-term),A+,11/27/2008,N,Sovereign,Upgrade,IG,"Europe, Middle East, Africa",Slovak Republic,A,5,N,1,SK,Stable,27-Nov-08,N,Slovak Republic,48.6667,19.5,12/31/2008,2008
